mileage,transmission,body_type,engine_size,year,id,description,type,date_posted,series,geolocation,seats,reference_number,views,color,scrape_date(dd/mm/yyyy),fuel_type,condition
24057 km,Automatic,"HatchBack
                            
                          ",1500 cc,2019,280396,"Power Steering, Power Windows, Auto Air Condition, Air Bags, Anti Lock Brake, Navigation System (Need To Be Reset) ",cars,Yesterday 09:50,"WXB Corolla Fielder 
                            
                          ",,"5
                            
                          ",,206,Red,14/01/2022,"Petrol
                            
                          ",
57700 km,Automatic,"SUV
                            
                          ",1600 cc,2018,263129,"Comes with fog lights factory installed ( have documentation for it)  side mirror indicators, side step up. Hood rails, Chrome accessories, original mats inside and inside trunk etc.",cars,Yesterday 09:44,"PDT
                            
                          ",,"5
                            
                          ",,175,Gray,14/01/2022,"Petrol
                            
                          ",
,Automatic,"HatchBack
                            
                          ",,2014,280399,NO PAYMENT PLANS. NO TRADES. ,cars,Yesterday 09:57,"PDU
                            
                          ",,"5
                            
                          ",,139,White,14/01/2022,"Natural gas
                            
                          ",
,Automatic,"Saloon
                            
                          ",1500 cc,2005,280402,2nd Owner,cars,Yesterday 10:03,"PBX
                            
                          ",,"5
                            
                          ",,86,Beige,14/01/2022,"Petrol
                            
                          ",
,Automatic,"Saloon
                            
                          ",2000 cc,2001,280410,car in good condition,cars,Yesterday 10:20,"PBP 8793
                            
                          ","arima
                            
                          ","4
                            
                          ",,93,White,14/01/2022,"Petrol
                            
                          ",
100000 km,Automatic,"Saloon
                            
                          ",1500 cc,2000,280414,Minor work to be done message to find out more  ,cars,Yesterday 10:24,"PBU
                            
                          ",,"5
                            
                          ",,123,Black,14/01/2022,"Petrol
                            
                          ",
,Automatic,"Saloon
                            
                          ",,2006,280411,Good Condition,cars,Yesterday 10:21,"PCC1299
                            
                          ",,"5
                            
                          ",,96,Beige,14/01/2022,"Natural gas
                            
                          ",
170000 km,Automatic,"Saloon
                            
                          ",2000 cc,2008,245346,Luxury edition,cars,Yesterday 10:32,"PDG
                            
                          ",,"5
                            
                          ",,33,Blue,14/01/2022,"Petrol
                            
                          ",
130013 km,Automatic,"HatchBack
                            
                          ",1100 cc,2014,280413,Lady Driven,cars,Yesterday 10:23,"PDD
                            
                          ",,"5
                            
                          ",,46,Silver,14/01/2022,"Petrol
                            
                          ",
120000 km,Automatic,"Saloon
                            
                          ",1600 cc,2010,280422,"its a bluebird sylphy pearl white power windows, steering, touch screen dvd deck footbrakes Ac",cars,Yesterday 10:56,"PCT
                            
                          ","Port of Spain
                            
                          ","5
                            
                          ",,108,White,14/01/2022,"Petrol
                            
                          ",
,Automatic,"Saloon
                            
                          ",1500 cc,2003,257548,"Small scrape on rear bumper, back door inner handle break and it needs new tyres. Works very good.",cars,Yesterday 13:03,"PCB
                            
                          ",,"5
                            
                          ",,57,Blue,14/01/2022,"Petrol
                            
                          ",
65000 km,Automatic,"Pickup
                            
                          ",3000 cc,2016,280454,Make:Toyota,cars,Yesterday 13:20,"TDM
                            
                          ",,"5
                            
                          ",,362,White,14/01/2022,"Diesel
                            
                          ",
,Automatic,"MPV
                            
                          ",1200 cc,2019,280455,"Keyless, 5 Doors, FWD, Anti Lock Braking System, Steel Wheel, Integrated Antenna,1 LCD Monitor In The Front, Air Bag",cars,Yesterday 13:23,"Note 
                            
                          ",,"5
                            
                          ",,31,Gray,14/01/2022,"Petrol
                            
                          ",
117000 km,Automatic,"HatchBack
                            
                          ",1500 cc,2009,280486,"excellent condition, no issues",cars,Yesterday 15:03,"PCT
                            
                          ",,"5
                            
                          ",,63,Silver,14/01/2022,"Petrol
                            
                          ",
181000 km,Automatic,"Saloon
                            
                          ",2000 cc,2012,280487,Good working condition,cars,Yesterday 15:11,"SX Model, PCT
                            
                          ",,"5
                            
                          ",,236,Blue,14/01/2022,"Petrol
                            
                          ",
66000 km,Automatic,"SUV
                            
                          ",2000 cc,2012,280456,Make:Nissan,cars,Yesterday 13:24,"PCW
                            
                          ",,"5
                            
                          ",,141,Silver,14/01/2022,"Petrol
                            
                          ",
864598 km,Automatic,"Coupe
                            
                          ",1800 cc,2014,262768,in good condition,cars,Yesterday 15:33,"PCD
                            
                          ",,"5
                            
                          ",,759,Black,14/01/2022,"Natural gas
                            
                          ",
111111113 km,Automatic,"Saloon
                            
                          ",1500 cc,2005,276073,Please call  for more info,cars,Yesterday 14:40,"PCN
                            
                          ",,"5
                            
                          ",,77,Black,14/01/2022,"Petrol
                            
                          ",
19159 km,Manual,"Pickup
                            
                          ",2000 cc,2013,280490,Van in very good condition,cars,Yesterday 15:34,"TDG
                            
                          ",,"5
                            
                          ",,162,Gray,14/01/2022,"Diesel
                            
                          ",
,Automatic,"HatchBack
                            
                          ",,2016,280499,NO PAYMENT PLANS. NO TRADES. ,cars,Yesterday 15:54,"PDR
                            
                          ",,"5
                            
                          ",,80,Blue,14/01/2022,"Natural gas
                            
                          ",
109000 km,Automatic,"Coupe
                            
                          ",2000 cc,2006,280503,First Owner .. PCA SERIES,cars,Yesterday 16:04,"PCA
                            
                          ",,"4
                            
                          ",,202,Red,14/01/2022,"Petrol
                            
                          ",
62351 km,Automatic,"Saloon
                            
                          ",1500 cc,2010,280510,One owner Fully powered Automatic Air condition cold ? low mileage quick sale.,cars,Yesterday 16:21,"PDJ
                            
                          ",,"5
                            
                          ",,116,White,14/01/2022,"Petrol
                            
                          ",
37700 km,Automatic,"Saloon
                            
                          ",1500 cc,2019,280512,CNG fully loaded still push to start drl etc. call  for viewing,cars,Yesterday 16:39,"PDX
                            
                          ",,"5
                            
                          ",,54,Gray,14/01/2022,"Petrol
                            
                          ",
,Automatic,"Saloon
                            
                          ",1800 cc,2000,280515,Big light Almera ,cars,Yesterday 16:55,"PBW
                            
                          ",,"5
                            
                          ",,230,Green,14/01/2022,"Petrol
                            
                          ",
,Automatic,"SUV
                            
                          ",,2009,218169,For Sale ,cars,Yesterday 17:05,"PDA
                            
                          ",,"5
                            
                          ",,450,Silver,14/01/2022,"Petrol
                            
                          ",
,Manual,"Saloon
                            
                          ",2000 cc,2004,280523,PCK Gray Subaru Impreza ,cars,Yesterday 17:31,"PCK
                            
                          ",,"5
                            
                          ",,149,Gray,14/01/2022,"Petrol
                            
                          ",
26900 km,Automatic,"Saloon
                            
                          ",1600 cc,2016,279637,"2016 Elantra,  with very low mileage , hardly driven,  like new condition, plastic still on back seats. Drives like new.",cars,10.01.2022 13:05,"PDL
                            
                          ","port of spain
                            
                          ","5
                            
                          ",,636,Beige,14/01/2022,"Petrol
                            
                          ",
,Automatic,"Saloon
                            
                          ",1500 cc,1998,256300,"GPS, Music, tint, Ac, drop low, 17"" rims buy and drive..",cars,Yesterday 08:46,"PBN
                            
                          ",,"5
                            
                          ",,660,Blue,14/01/2022,"Petrol
                            
                          ",
52000 km,Automatic,"SUV
                            
                          ",1600 cc,2019,212429,2019 Subaru XV,cars,Yesterday 09:00,"PDX
                            
                          ",,,,168,Gray,14/01/2022,"Petrol
                            
                          ",
183000 km,Automatic,"HatchBack
                            
                          ",1500 cc,2008,269256,"immaculate condition, no mechanical issues, a/c , key less entry, key less start,lenny sumath plates,  for viewing call",cars,Yesterday 09:05,"PCZ
                            
                          ",,"5
                            
                          ",,904,Beige,14/01/2022,"Petrol
                            
                          ",
,Automatic,"HatchBack
                            
                          ",1500 cc,2006,265191,"Excellent working condition all suspension in order, viper alarm. second owner. vehicle on my name.   .4 new brand tyres install recently.no issues with this vehicle.price stand as is.call .or watts app.",cars,Yesterday 09:05,"PCL
                            
                          ",,"5
                            
                          ",,1164,Silver,14/01/2022,"Petrol
                            
                          ",
,Automatic,"HatchBack
                            
                          ",1800 cc,2013,246169,"2013 Toyota Prius Alpha, battery reconditioned fully loaded ,push start, 2 keys available",cars,Yesterday 09:13,"PDR
                            
                          ",,"5
                            
                          ",,24,Black,14/01/2022,"Hybrid
                            
                          ",
82000 km,Automatic,"SUV
                            
                          ",2000 cc,2018,280385,"Used Like New, 8, One Owner, Company Serviced",cars,Yesterday 09:22,"Q7
                            
                          ",,"7
                            
                          ",,121,Black,14/01/2022,"Petrol
                            
                          ",
24000 km,Automatic,"Coupe
                            
                          ",2000 cc,2013,280365,Excellent working condition,cars,Yesterday 08:05,"E Class
                            
                          ",,"4
                            
                          ",,101,White,14/01/2022,"Petrol
                            
                          ",
50000 km,Automatic,"Coupe
                            
                          ",3000 cc,2012,261706,Audi A7 ,cars,Yesterday 08:28,"PCU
                            
                          ",,"4
                            
                          ",,68,Black,14/01/2022,"Petrol
                            
                          ",
,Automatic,"Saloon
                            
                          ",,1996,280328,"Works great, bluetooth stereo, original seats.",cars,12.01.2022 23:23,"PBL
                            
                          ",,"5
                            
                          ",,120,Silver,14/01/2022,"Petrol
                            
                          ",
,Automatic,"Saloon
                            
                          ",500 cc,1997,267496,Car in good condition ..5E engine 13.2 horsepower.. contact could WhatsApp,cars,12.01.2022 23:42,"PBC
                            
                          ",,"5
                            
                          ",,854,Blue,14/01/2022,"Petrol
                            
                          ",
,Automatic,"Coupe
                            
                          ",2200 cc,1992,280332,4th gen. honda prelude for sale. ,cars,12.01.2022 23:48,"PBF
                            
                          ","Arima
                            
                          ","2
                            
                          ",,250,Red,14/01/2022,"Petrol
                            
                          ",
,Automatic,"HatchBack
                            
                          ",2000 cc,2000,280346,"Air Condition, Power Steering, Airbags, Fog Lamps, CD Player, USB Deck, DVD Deck / Screen",cars,Yesterday 02:21,"HBL
                            
                          ",,"7
                            
                          ",,45,White,14/01/2022,"Diesel
                            
                          ",
75000 km,Automatic,"Saloon
                            
                          ",1600 cc,2015,256772,Female Driven and Company Maintained,cars,Yesterday 03:25,"PDJ
                            
                          ",,"5
                            
                          ",,62,Blue,14/01/2022,"Petrol
                            
                          ",
150000 km,Automatic,"Saloon
                            
                          ",1600 cc,2006,255958,"Subaru Impreza TS, Automatic (Hawkeye version), all wheel drive in excellent condition, tires and battery replaced a year ago and vehicle has hardly been used, located in Tobago.",cars,Yesterday 05:30,"PCD
                            
                          ",,"5
                            
                          ",,583,Black,14/01/2022,"Petrol
                            
                          ",
,Automatic,"Saloon
                            
                          ",1500 cc,2010,280300,Nissan Tiida,cars,12.01.2022 21:18,"PDM
                            
                          ",,"5
                            
                          ",,85,White,14/01/2022,"Petrol
                            
                          ",
